Nome,Categoria,Tempo,Stagioni,Pianificazione,Freezer,Avanzi,Gradimento,Porzioni,Ingredienti,Link
Pollo con peperoni,Carne,Lunga (45-90),Estate,nessuna,meal-prep,buona,ci-piace,3 porzioni,Pollo a pezzi (cosce o petto): 600 g | Peperoni: 2 | Cipolla: 1 | Aglio: 1 spicchio | Passata di pomodoro: 200 g | Vino bianco: mezzo bicchiere | Rosmarino: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Pollo al forno con senape e miele,Carne,Lunga (45-90),Tutto l'anno,marinatura,non-adatta,buona,ci-piace,3 porzioni,Cosce o sovracosce di pollo: 6 | Senape: 3 cucchiai | Miele: 3 cucchiai | Limone: 1 | Aglio: 1-2 spicchi | Rosmarino: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.dissapore.com/ricette/petti-di-pollo-alla-senape-miele/
Straccetti di manzo ai funghi,Carne,Veloce (20-30),Autunno,nessuna,non-adatta,buona,ogni-tanto,3 porzioni,Fesa di manzo a straccetti: 350 g | Funghi champignon: 250 g | Aglio: 1 spicchio | Farina: q.b. | Vino bianco: mezzo bicchiere | Prezzemolo: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Straccetti di manzo al balsamico,Carne,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Straccetti di manzo: 400 g | Farina: 40 g | Aceto balsamico: 2-3 cucchiai | Rucola: un mazzetto | Parmigiano a scaglie: 40 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.saporie.com/ricette-degli-chef/secondi-piatti/straccetti-di-manzo-allaceto-balsamico-con-rucola-e-parmigiano-reggiano-dop
"Tagliata di manzo con rucola, grana e pomodorini",Carne,Veloce (20-30),Estate,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Controfiletto o scamone in un unico pezzo: 500 g | Rucola: 1 mazzetto | Pomodorini: 200 g | Grana o parmigiano a scaglie: 50 g | Olio EVO: q.b. | Aceto balsamico: facoltativo | Sale grosso: q.b.,
Hamburger fatti in casa,Carne,Normale (30-45),Tutto l'anno,nessuna,base,meglio-fatta,ci-piace,3 porzioni,Carne macinata di manzo: 450 g | Sale: q.b. | Pepe: q.b. | Prezzemolo: q.b. | Panini per hamburger: 3 | Formaggio grattugiato: a piacere | Insalata: a piacere | Pomodoro: a piacere,https://www.tavolartegusto.it/ricetta/hamburger-ricetta/
Polpette in bianco,Carne,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ogni-tanto,3 porzioni,Carne macinata di manzo: 400 g | Pangrattato: 40 g | Parmigiano grattugiato: 30 g | Uova: 1 | Prezzemolo: q.b. | Aglio: 1 spicchio | Vino bianco: mezzo bicchiere | Farina: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Polpette alla pizzaiola,Carne,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Carne macinata di manzo: 350 g | Pane raffermo: 2 fette | Uova: 1 | Parmigiano grattugiato: 2 cucchiai | Pecorino grattugiato: 2 cucchiai | Prezzemolo: q.b. | Passata di pomodoro: 400 g | Aglio: 1 spicchio | Origano: q.b. | Basilico: q.b. | Mozzarella o provola: 150 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Involtini alla siciliana,Carne,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Fettine di vitello: 6 | Pane raffermo: 100 g | Caciocavallo grattugiato: 60 g | Uvetta: 30 g | Pinoli: 20 g | Prezzemolo: q.b. | Cipolla: 1 | Alloro: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Salsiccia e friarielli,Carne,Normale (30-45),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Friarielli (cime di rapa napoletane): 500 g | Salsiccia di maiale: 400 g | Aglio: 2 spicchi | Peperoncino fresco: facoltativo | Vino bianco: mezzo bicchiere | Olio EVO: q.b. | Sale: q.b.,
Salsiccia al sugo + polenta/pane,Carne,Lunga (45-90),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Salsiccia: 400 g | Carota: 1 | Sedano: 1 costa | Cipolla: 1 | Passata di pomodoro: 400 g | Vino bianco: mezzo bicchiere | Alloro: q.b. | Farina di mais per polenta: 250 g | Pane: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Maiale in agrodolce con mele/cipolle,Carne,Lunga (45-90),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Spezzatino di maiale: 600 g | Mele: 2 | Cipolla: 1 | Aceto di vino bianco: 2 cucchiai | Rosmarino: q.b. | Farina: 1 cucchiaio | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Lonza di maiale al forno con mele e rosmarino,Carne,Lunga (45-90),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Lonza di maiale: 800 g | Mele: 2 | Rosmarino: q.b. | Salvia: q.b. | Vino bianco: mezzo bicchiere | Burro: 20 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Costine al forno,Carne,Lunga (45-90),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Costine di maiale: 1 kg | Aglio: 2 spicchi | Rosmarino: q.b. | Senape: 1 cucchiaio | Vino bianco: mezzo bicchiere | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Ossobuco alla milanese + risotto allo zafferano,Carne,Progetto (>90),"Autunno, Inverno",prep-anticipata,base,buona,ogni-tanto,3 porzioni,Ossibuchi di vitello: 3 | Farina: per infarinare | Cipolla: 1 | Vino bianco: mezzo bicchiere | Brodo di carne: circa 500 ml | Prezzemolo: q.b. | Aglio: q.b. | Scorza di limone: q.b. | Riso Carnaroli: 240 g | Zafferano: 1 bustina | Burro: 50 g | Parmigiano grattugiato: 50 g | Brodo vegetale: circa 700 ml | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cortilia.it/ricette/autunno/ossobuco-e-risotto-alla-milanese
Gateau di patate,Forno,Lunga (45-90),Tutto l'anno,nessuna,base,buona,ci-piace,4 porzioni,Patate: 1 kg | Uova: 2 | Latte: 100 ml | Burro: 40 g | Parmigiano grattugiato: 60 g | Prosciutto cotto: 120 g | Mozzarella o provola: 200 g | Pangrattato: per la teglia | Noce moscata: q.b. | Sale: q.b. | Pepe: q.b.,https://www.dissapore.com/ricette/gateau-di-patate-napoletano/
Torta salata patate e speck,Forno,Lunga (45-90),Tutto l'anno,nessuna,base,buona,ci-piace,4 porzioni,Pasta sfoglia: 1 rotolo | Patate: 3 medie | Speck: 120 g | Scamorza o provola: 150 g | Parmigiano grattugiato: 40 g | Rosmarino: facoltativo | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cookist.it/torta-salata-patate-e-speck/
Torta salata ricotta e spinaci,Forno,Lunga (45-90),Tutto l'anno,nessuna,base,buona,ci-piace,4 porzioni,Pasta sfoglia: 1 rotolo | Ricotta: 250 g | Spinaci: 300 g | Uova: 2 | Parmigiano grattugiato: 50 g | Noce moscata: facoltativa | Sale: q.b. | Pepe: q.b.,https://www.cookist.it/la-ricetta-torta-salata-ricotta-e-spinaci/
Sformato di verdure e formaggio,Forno,Lunga (45-90),Tutto l'anno,nessuna,congelabile,buona,ci-piace,3 porzioni,"Verdure miste (zucchine, carote, spinaci): circa 500 g | Uova: 4 | Latte: 100 ml | Formaggio grattugiato: 60 g | Formaggio filante a cubetti: 100 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.finedininglovers.it/esplora/ricette/frittata-al-forno-con-verdure
Polpettone ripieno,Carne,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Carne macinata mista: 500 g | Pane raffermo: 100 g | Latte: 100 ml | Uova: 1 | Parmigiano grattugiato: 40 g | Prosciutto cotto: 80 g | Uova sode: 2 | Scamorza o provola: 100 g | Prezzemolo: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Polpettone al sugo,Carne,Lunga (45-90),Tutto l'anno,nessuna,congelabile,ottima,ci-piace,4 porzioni,Carne macinata mista: 600 g | Uova: 2 | Parmigiano grattugiato: 50 g | Pangrattato: 50 g | Mozzarella o provola (facoltativa): 100 g | Passata di pomodoro: 500 g | Cipolla: 1/2 | Basilico: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.tavolartegusto.it/ricetta/polpettone-al-sugo-ricetta/
Patate ripiene al forno,Forno,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Patate: 4 grandi | Prosciutto cotto: 80 g | Scamorza o provola: 100 g | Parmigiano grattugiato: 30 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Patate alla pizzaiola,Verdure,Normale (30-45),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Patate: 4 grandi | Passata di pomodoro: 300 g | Aglio: 1 spicchio | Origano: q.b. | Mozzarella o provola: 150 g | Olio EVO: q.b. | Sale: q.b. | Peperoncino: q.b.,
Uova al forno con patate e mozzarella,Forno,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Patate: 3 medie | Uova: 4 | Mozzarella: 150 g | Parmigiano grattugiato: 30 g | Prezzemolo: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Pizzaiola,Carne,Normale (30-45),Tutto l'anno,nessuna,non-adatta,buona,ci-piace,3 porzioni,Fettine di manzo: 6 | Pomodorini: 400 g | Aglio: 2 spicchi | Origano: q.b. | Olio EVO: q.b. | Sale: q.b.,
Melanzane alla pizzaiola,Verdure,Normale (30-45),Estate,nessuna,non-adatta,buona,ci-piace,3 porzioni,Melanzane: 2 grandi | Passata di pomodoro: 300 g | Mozzarella: 150 g | Aglio: 1 spicchio | Origano: q.b. | Basilico: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cookist.it/melanzane-alla-pizzaiola-ricetta/
Melanzane ripiene alla calabrese,Verdure,Lunga (45-90),Estate,nessuna,meal-prep,buona,ci-piace,3 porzioni,Melanzane: 3 | Pane raffermo: 100 g | Salsiccia: 200 g | Uova sode: 2 | Pecorino grattugiato: 60 g | Passata di pomodoro: 300 g | Cipolla: 1 | Aglio: 1 spicchio | Basilico: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Zucchine alla scapece,Verdure,Normale (30-45),Estate,prep-anticipata,non-adatta,buona,ci-piace,3 porzioni,Zucchine: 600 g | Aglio: 2 spicchi | Aceto di vino bianco: 4 cucchiai | Menta fresca: q.b. | Olio EVO: q.b. | Olio per friggere: q.b. | Sale: q.b.,
Zucchine ripiene di ricotta e parmigiano,Verdure,Lunga (45-90),Estate,nessuna,meal-prep,buona,ci-piace,3 porzioni,Zucchine: 4 medie | Ricotta: 150 g | Parmigiano grattugiato: 100 g | Pangrattato: 50 g | Prezzemolo: q.b. | Uova: 1 | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
"Peperoni gratinati con pangrattato, olive e capperi",Verdure,Normale (30-45),Estate,nessuna,meal-prep,buona,ci-piace,3 porzioni,Peperoni: 3 | Pangrattato: 80 g | Parmigiano grattugiato: 30 g | Olive nere: 40 g | Capperi: 1 cucchiaio | Prezzemolo: q.b. | Aglio: 1 spicchio | Olio EVO: q.b. | Sale: q.b.,
Peperoni con mollica e acciughe,Verdure,Normale (30-45),Estate,nessuna,meal-prep,buona,ogni-tanto,3 porzioni,Peperoni: 3 | Pane raffermo: 100 g | Acciughe sott'olio: 4 filetti | Capperi: 1 cucchiaio | Aglio: 1 spicchio | Prezzemolo: q.b. | Parmigiano grattugiato: 2 cucchiai | Olio EVO: q.b.,
Caponata siciliana,Verdure,Lunga (45-90),Estate,prep-anticipata,congelabile,ottima,ci-piace,4 porzioni,Melanzane: 2 grandi | Sedano: 2 coste | Cipolla: 1 | Pomodori maturi o pelati: 300 g | Olive verdi: 80 g | Capperi: 30 g | Aceto di vino bianco: 2 cucchiai | Zucchero: 1 cucchiaio | Basilico: q.b. | Olio per friggere: abbondante | Sale: q.b.,https://www.tavolartegusto.it/ricetta/caponata-siciliana/
Ratatouille,Verdure,Lunga (45-90),Estate,nessuna,meal-prep,buona,ci-piace,4 porzioni,Melanzane: 1 grande | Zucchine: 2 | Peperoni: 2 | Pomodori maturi: 4 | Cipolla: 1 | Aglio: 1 spicchio | Timo: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Patate e peperoni in padella,Verdure,Normale (30-45),Estate,nessuna,meal-prep,buona,ci-piace,3 porzioni,Patate: 4 medie | Peperoni: 2 | Cipolla: 1 | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b. | Origano: q.b.,
Patate al forno schiacciate con rosmarino e parmigiano,Verdure,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Patate: 800 g piccole | Rosmarino: q.b. | Aglio: 2 spicchi | Parmigiano grattugiato: 50 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Carciofi alla romana,Verdure,Normale (30-45),"Inverno, Primavera",prep-anticipata,non-adatta,buona,ogni-tanto,3 porzioni,Carciofi grandi (mammole): 4 | Aglio: 2 spicchi | Prezzemolo: abbondante | Mentuccia (o menta): q.b. | Limone: 1 | Olio EVO: abbondante | Sale: q.b. | Pepe: q.b.,https://www.fattoincasadabenedetta.it/ricetta/carciofi-alla-romana/
Carciofi ripieni,Verdure,Lunga (45-90),"Inverno, Primavera",prep-anticipata,meal-prep,buona,ogni-tanto,3 porzioni,Carciofi grandi (mammole): 3 | Pane raffermo: 100 g | Pecorino grattugiato: 50 g | Aglio: 1 spicchio | Prezzemolo: q.b. | Limone: 1 | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Fagiolini al pomodoro,Verdure,Normale (30-45),Estate,nessuna,meal-prep,buona,ci-piace,3 porzioni,Fagiolini: 500 g | Pomodorini (o pelati): 300 g | Aglio: 1 spicchio | Basilico: qualche foglia | Olio EVO: q.b. | Sale: q.b.,https://www.misya.info/ricetta/fagiolini-al-pomodoro.htm
Piselli al prosciutto,Verdure,Veloce (20-30),Primavera,nessuna,meal-prep,buona,ci-piace,3 porzioni,Piselli (surgelati o già lessati): 400 g | Prosciutto cotto: 150 g | Cipolla: mezza | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Spinaci al burro e parmigiano,Verdure,Express (≤20min),Tutto l'anno,nessuna,non-adatta,buona,ci-piace,3 porzioni,"Spinaci: 500 g | Burro: 30 g | Parmigiano grattugiato: 40 g | Aglio: 1 spicchio, facoltativo | Sale: q.b. | Pepe: q.b.",https://www.galbani.it/ricette/spinaci-burro-e-parmigiano
Bietole gratinate,Verdure,Normale (30-45),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Bietole: 800 g | Burro: 30 g | Farina: 30 g | Latte: 300 ml | Noce moscata: q.b. | Pangrattato: q.b. | Sale: q.b. | Pepe: q.b.,
Broccoli gratinati con besciamella,Verdure,Lunga (45-90),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Broccoli: 1 | Besciamella: 300 g | Parmigiano grattugiato: 50 g | Sale: q.b.,
Cavolfiore alla pizzaiola,Verdure,Normale (30-45),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Cavolfiore: 1 | Passata di pomodoro: 300 g | Mozzarella: 200 g | Parmigiano grattugiato: 40 g | Origano: q.b. | Olio EVO: q.b. | Sale: q.b.,
Pomodori gratinati,Verdure,Normale (30-45),Estate,nessuna,non-adatta,buona,ci-piace,3 porzioni,Pomodori maturi: 6 | Pangrattato: 80 g | Parmigiano grattugiato: 40 g | Basilico: q.b. | Aglio: 1 spicchio | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Pomodori ripieni di riso,Riso,Lunga (45-90),Estate,nessuna,meal-prep,buona,ci-piace,3 porzioni,Pomodori maturi: 6 grandi | Riso Carnaroli: 120 g | Basilico: q.b. | Aglio: 1 spicchio | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Pasta alla carrettiera,Pasta,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,buona,ci-piace,3 porzioni,Pasta: 210 g | Pomodori maturi (o pomodorini): 400 g | Aglio: 1-2 spicchi | Peperoncino fresco o secco: q.b. | Basilico: qualche foglia | Pecorino grattugiato (o ricotta salata): 50 g | Olio EVO: q.b. | Sale: q.b.,https://www.dissapore.com/ricette/pasta-alla-carrettiera-ricetta-originale/
Pasta con salsiccia e funghi,Pasta,Normale (30-45),Autunno,nessuna,base,buona,ci-piace,3 porzioni,"Pasta corta (penne o mezze maniche): 240 g | Salsiccia: 300 g | Funghi misti freschi: 300 g | Aglio: 1 spicchio | Vino bianco: facoltativo, mezzo bicchiere | Prezzemolo: q.b. | Parmigiano grattugiato: 40 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cookist.it/pasta-funghi-e-salsiccia/
Pasta salsiccia e broccoli,Pasta,Normale (30-45),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Pasta corta: 250 g | Broccoli: 1 | Salsiccia: 250 g | Aglio: 1 spicchio | Peperoncino: q.b. | Olio EVO: q.b. | Parmigiano grattugiato: q.b. | Sale: q.b.,
Pasta con zucchine e speck,Pasta,Veloce (20-30),Estate,nessuna,non-adatta,buona,ci-piace,3 porzioni,Pasta: 210 g | Zucchine: 3 | Speck: 90–110 g | Scalogno piccolo: 1 | Olio EVO: q.b. | Pepe: q.b. | Parmigiano grattugiato: facoltativo,
Pasta con melanzane e ricotta salata,Pasta,Normale (30-45),Estate,nessuna,base,buona,ci-piace,3 porzioni,Pasta corta (rigatoni o penne): 240 g | Melanzane: 2 | Passata di pomodoro: 350 g | Aglio: 1 spicchio | Ricotta salata: 70 g | Basilico: q.b. | Olio per friggere: abbondante | Olio EVO: q.b. | Sale: q.b.,https://www.tavolartegusto.it/ricetta/pasta-alla-norma/
"Pasta con ricotta, spinaci e parmigiano",Pasta,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,buona,ci-piace,3 porzioni,Pasta corta (fusilli o mezze maniche): 240 g | Spinaci: 300 g | Ricotta: 200 g | Aglio: 1 spicchio | Parmigiano grattugiato: 40 g | Noce moscata: facoltativa | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.fattoincasadabenedetta.it/ricetta/pasta-ricotta-e-spinaci/
Pasta con crema di peperoni,Pasta,Normale (30-45),Estate,nessuna,meal-prep,buona,ci-piace,3 porzioni,Pasta corta: 250 g | Peperoni: 3 | Ricotta: 100 g | Latte: 50 ml | Aglio: 1 spicchio | Olio EVO: q.b. | Parmigiano grattugiato: q.b. | Sale: q.b. | Pepe: q.b.,
Pasta con peperoni e salsiccia,Pasta,Normale (30-45),Estate,nessuna,base,ottima,ci-piace,3 porzioni,Pasta: 210 g | Peperoni: 1 grande + 1 piccolo (o 2 piccoli) | Salsiccia: 200–220 g | Aglio: 1 spicchio | Vino bianco: circa 50 ml | Rosmarino: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Pasta con patate,Pasta,Normale (30-45),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Pasta mista o corta: 250 g | Patate: 500 g | Guanciale o pancetta: 80 g | Sedano: 1 pezzo | Carota: 1 pezzo | Cipolla: 1 pezzo | Concentrato di pomodoro: 1 cucchiaio | Crosta di parmigiano: facoltativa | Provola a cubetti: facoltativa | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Pasta e patate con provola,Pasta,Normale (30-45),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,3 porzioni,Pasta mista o corta: 200 g | Patate: 3 medie | Carota: 1 | Sedano: 1 costa | Cipolla: 1 | Guanciale o pancetta: 80 g | Provola a cubetti: 100 g | Concentrato di pomodoro: 1 cucchiaio | Brodo vegetale o acqua: 1 l | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
"Pasta con fagiolini, patate e pesto",Pasta,Normale (30-45),Estate,nessuna,non-adatta,buona,ci-piace,3 porzioni,Pasta (trofie o trenette): 240 g | Patate: 2 | Fagiolini: 200 g | Basilico: 40 g | Pinoli: 20 g | Parmigiano grattugiato: 30 g | Pecorino grattugiato: 20 g | Aglio: 1/2 spicchio | Olio EVO: circa 80 ml | Sale grosso: q.b.,
"Pasta al forno bianca con besciamella, prosciutto e mozzarella",Pasta,Lunga (45-90),"Autunno, Inverno",nessuna,congelabile,buona,ci-piace,4 porzioni,Pasta corta (mezze maniche o penne): 350 g | Besciamella: circa 600 ml | Prosciutto cotto: 150 g | Mozzarella: 200 g | Parmigiano grattugiato: 60 g | Noce moscata: q.b. | Sale: q.b.,https://www.salepepe.it/ricette/primi/pasta-secca/maccheroni-o-mezze-maniche/pasta-al-forno-bianca/
Cannelloni di carne,Pasta,Lunga (45-90),Tutto l'anno,nessuna,congelabile,buona,ci-piace,4 porzioni,"Cannelloni (secchi o sfoglie di pasta fresca): 16-18 | Carne macinata mista: 400 g | Carota: 1 pezzo | Sedano: 1 pezzo | Cipolla: 1 pezzo | Passata di pomodoro: 400 g | Vino bianco: facoltativo, mezzo bicchiere | Besciamella: circa 400 ml | Parmigiano grattugiato: 60 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cucchiaio.it/ricetta/cannelloni-di-carne/
Timballo di pasta,Pasta,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,4 porzioni,Pasta corta (rigatoni o penne): 350 g | Carne macinata mista: 300 g | Passata di pomodoro: 500 g | Cipolla: 1 | Vino rosso: mezzo bicchiere | Mozzarella: 250 g | Parmigiano grattugiato: 60 g | Basilico: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Pasta gratinata con verdure e formaggio,Pasta,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Pasta corta: 280 g | Zucchine: 2 | Peperoni: 1 | Melanzane: 1 | Fontina: 150 g | Parmigiano grattugiato: 40 g | Aglio: 1 spicchio | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Risotto ai funghi,Riso,Normale (30-45),Autunno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,"Riso Carnaroli: 240 g | Funghi misti freschi: 300 g | Scalogno o cipolla: 1 | Brodo vegetale: circa 700 ml | Vino bianco: mezzo bicchiere, facoltativo | Burro: 30 g | Parmigiano grattugiato: 50 g | Prezzemolo: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cookist.it/risotto-ai-funghi-la-ricetta/
Risotto alla milanese,Riso,Normale (30-45),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,"Riso Carnaroli o Vialone Nano: 240 g | Zafferano: 1 bustina o una presa di pistilli | Cipolla: 1/2 | Brodo di carne o vegetale: circa 700 ml | Vino bianco: mezzo bicchiere, facoltativo | Burro: 50 g | Parmigiano grattugiato: 50 g | Sale: q.b.",https://ricette.giallozafferano.it/Risotto-alla-milanese.html
Risotto radicchio e taleggio,Riso,Normale (30-45),"Autunno, Inverno",nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,"Riso Carnaroli: 240 g | Radicchio: 1 cespo | Taleggio: 150 g | Scalogno o cipolla: 1 | Brodo vegetale: circa 700 ml | Vino bianco: mezzo bicchiere, facoltativo | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cucchiaio.it/ricetta/risotto-radicchio-taleggio/
Risotto zucchine e speck,Riso,Normale (30-45),Estate,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,"Riso Carnaroli: 240 g | Zucchine: 2 | Speck: 100 g | Scalogno o cipolla: 1 | Brodo vegetale: circa 700 ml | Vino bianco: mezzo bicchiere, facoltativo | Parmigiano grattugiato: 50 g | Burro: 20 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cookaround.com/ricetta/Risotto-zucchine-e-speck.html
Risotto salsiccia e rosmarino,Riso,Normale (30-45),Tutto l'anno,nessuna,non-adatta,buona,ci-piace,3 porzioni,Riso Carnaroli: 240 g | Salsiccia: 200 g | Rosmarino: 1 rametto | Cipolla: mezza | Vino bianco: mezzo bicchiere | Burro: 30 g | Parmigiano grattugiato: 30 g | Brodo vegetale: 1 litro circa | Olio EVO: q.b.,
Gnocchi al forno con pomodoro e mozzarella,Riso,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Gnocchi di patate: 600 g | Passata di pomodoro: 300 g | Pomodori pelati: 300 g | Mozzarella: 250 g | Parmigiano grattugiato: 60 g | Aglio: 2 spicchi | Basilico: q.b. | Origano: q.b. | Olio EVO: q.b. | Sale: q.b.,
Pasta e patate,Pasta,Normale (30-45),Tutto l'anno,nessuna,non-adatta,ottima,ci-piace,3 porzioni,Pasta mista o corta: 200 g | Patate: 500 g | Carota: 1 pezzo | Sedano: 1 pezzo | Cipolla: 1 pezzo | Pomodorini o concentrato di pomodoro: 150 g o 1 cucchiaio | Croste di parmigiano (facoltative): 1-2 | Parmigiano grattugiato: per servire | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.tavolartegusto.it/ricetta/pasta-e-patate-la-ricetta-napoletana/
"Riso al forno con mozzarella, pomodoro e carne",Riso,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Riso Carnaroli: 300 g | Carne macinata mista: 300 g | Passata di pomodoro: 500 g | Concentrato di pomodoro: 1 cucchiaio | Piselli (surgelati o già lessati): 150 g | Cipolla: 1 | Vino bianco: mezzo bicchiere | Mozzarella: 250 g | Parmigiano grattugiato: 50 g | Origano: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Riso al forno con verdure e formaggio,Riso,Lunga (45-90),Tutto l'anno,nessuna,meal-prep,buona,ci-piace,3 porzioni,Riso Carnaroli: 300 g | Zucchine: 2 | Carota: 2 | Broccoli: 1 | Fontina: 150 g | Parmigiano grattugiato: 50 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,
Gnocchi alla sorrentina,Riso,Normale (30-45),Tutto l'anno,nessuna,non-adatta,buona,ci-piace,3 porzioni,Gnocchi di patate: 600 g | Passata di pomodoro: 400 g | Mozzarella: 200 g | Parmigiano grattugiato: 50 g | Aglio: 1 spicchio | Basilico: q.b. | Olio EVO: q.b. | Sale: q.b.,https://www.cucchiaio.it/ricetta/gnocchi-alla-sorrentina/
Gnocchi al ragù,Riso,Normale (30-45),Tutto l'anno,prep-anticipata,base,ottima,ci-piace,3 porzioni,"Gnocchi di patate: 600 g | Carne macinata mista: 300 g | Cipolla: 1 pezzo | Carota: 1 pezzo | Sedano: 1 pezzo | Passata di pomodoro: 400 g | Vino rosso: mezzo bicchiere, facoltativo | Parmigiano grattugiato: per servire | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cookist.it/gnocchi-al-ragu/
Gnocchi gorgonzola e noci,Riso,Veloce (20-30),"Autunno, Inverno",nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Gnocchi di patate: 500 g | Gorgonzola: 200 g | Latte: 100 ml | Noci sgusciate: 50 g | Sale: q.b. | Pepe: q.b.,
